Name,Cals,FatCals,Fat(g),Sat(g),Trans(g),Chol(mg),Sod(mg),Carbs(g),Fiber(g),Sugar(g),Prot(g),,Kind
Margarita Chicken Bowl,920,270,31,6,0,130,3850,110,14,13,56,,Entree
Margarita Shrimp Bowl,950,350,38,8,0,160,4570,117,14,17,37,,Entree
Beef Enchilada (1 each),310,160,18,7,0,45,810,21,4,3,16,,Entree
Beef Enchilada Platter,1240,560,62,22,1,140,3690,113,18,10,59,,Entree
Cheese Enchilada (1 each),380,240,26,13,0,60,820,19,2,2,18,,Entree
Cheese Enchilada Platter,1430,770,86,40,0,190,3710,104,14,7,63,,Entree
Green Chile Chicken Enchilada (1 each),270,120,13,4.5,0,50,1000,20,3,3,17,,Entree
Green Chile Chicken Enchilada Platter,1100,410,46,16,0,155,4250,111,16,11,62,,Entree
Sour Cream Chicken Enchilada (1 each),300,150,17,7,0,60,910,20,2,2,17,,Entree
Sour Cream Chicken Enchilada Platter,1200,520,57,24,0,195,3980,110,14,8,62,,Entree
Beef Crispy Taco (1 each),310,160,17,6,0,50,1170,21,5,4,19,,Entree
Beef Soft Taco (1 each),320,160,18,7,0,50,1170,21,4,4,20,,Entree
Chicken Crispy Taco (1 each),270,110,12,4,0,60,1500,21,4,3,20,,Entree
Chicken Soft Taco (1 each),280,110,12,5,0,60,1500,21,3,3,21,,Entree
Crispy Chicken Tacos,1460,590,66,21,0,155,4400,153,11,32,66,,Entree
Spicy Grilled Shrimp Tacos,1070,460,51,12,0,165,3590,119,13,17,39,,Entree
Beef Tostada,390,200,22,8,0,60,1400,29,8,5,22,,Entree
Chicken Tostada,350,150,17,6,0,65,1730,28,7,5,23,,Entree
Bacon Ranch Chicken Quesadilla,1750,1190,132,44,0,260,3610,70,4,10,73,,Entree
Bacon Ranch Steak Quesadilla,1860,1280,142,47,0.5,275,3960,69,4,10,80,,Entree
Chicken Quesadilla (1 each),700,440,49,20,0,115,1520,34,2,3,33,,Entree
Santa Fe Chicken Quesadilla,1540,970,108,40,0,215,2630,79,7,9,69,,Entree
Five Cheese,1380,640,71,34,0.5,140,2600,122,5,15,62,,Pizza
Pepperoni,1320,630,70,29,1,145,2330,118,4,13,52,,Pizza
Southwestern Chicken,1420,610,68,28,0.5,170,3190,128,7,17,71,,Pizza
Taco,1350,600,67,30,1,155,2670,123,6,15,63,,Pizza
California Grilled Chicken,1440,850,95,41,0.5,220,2540,74,8,7,77,,Pizza
Chipotle Chicken,1330,730,81,41,0.5,220,2720,73,5,7,79,,Pizza
Margherita,1400,920,102,41,1,165,2560,72,5,8,52,,Pizza
Memphis Dry Rub Ribs,1680,780,87,29,0,110,3990,137,11,45,90,,Entree
Memphis Dry Rub Ribs - Half Rack,940,420,47,14,0,55,2880,82,7,16,48,,Entree
Original Ribs,1630,770,85,29,0,110,3290,132,8,47,88,,Entree
Original Ribs - Half Rack,890,410,46,14,0,55,2280,73,5,11,47,,Entree
Big Mouth Bites,1790,1000,111,31,2,195,4090,130,7,17,67,,Burger
Classic Bacon Burger,1360,710,79,25,1.5,170,3440,104,7,10,58,,Burger
